Stance	Clean_tweet
AGAINST	tedcruz And, HandOverTheServer she wiped clean + 30k deleted emails, explains dereliction of duty/lies re Benghazi,etc tcot SemST
FAVOR	Hillary is our best choice if we truly want to continue being a progressive nation. Ohio SemST
AGAINST	TheView I think our country is ready for a female pres, it can't ever be Hillary SemST
AGAINST	I just gave an unhealthy amount of my hard-earned money away to the big gov't & untrustworthy IRS. WhyImNotVotingForHillary SemST
NONE	PortiaABoulger Thank you for adding me to your list SemST
AGAINST	Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. Warren2016 SemST
NONE	Respect FOR the law and respect BY the law Yes, needed desperately.  BaltimoreRiots SemST
NONE	I don't want to be appointed to an Ambassador post. SemST
AGAINST	StopHillary2016 HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO SemST
AGAINST	HillaryClinton End lawless ClintonFoundation. Jail Butcher of Benghazi. Arrest rapist BillClinton. HillaryClinton SemST
AGAINST	Use your brain, keep Hillary out of the White House.Clinton2016 SemST
AGAINST	HillaryClinton Hillary pandering with her logo. ClintonFoundationscandal ClintonCash SemST
FAVOR	readyforHRC HillaryClinton HillaryClinton, the US presidency is a testament to the success of women their role in the world SemST
NONE	CiaraAntaya cuz you know I'm such a feminist SemST 
AGAINST	2 million bogus followers on Twitter HillaryClinton WhyImNotVotingForHillary SemST
NONE	lindasuhler : My name is Rebecca and my grandmother immigrated to Sunnybrook Farm. twitchyteam SemST
FAVOR	Where's the campaign store is the real question? I am ready to buy some Hillary gear SemST
AGAINST	It's a miracle, suddenly Democrats don't mind having someone who voted for war. SemST
NONE	smileitsalicia greekgummybear2 now i can live in peace SemST
AGAINST	Hillary doesn't want to put anyone in prison anymore. Obviously worried about her own future. SemST
AGAINST	The only way I support Hillary was if Elizabeth Warren ran or Karl Marx was running 2016 Clinton2016 SemST
AGAINST	HomeOfUncleSam ScotsFyre RWNutjob1 SA_Hartdegen She's too old to understand the internet...that she can be fact checked. SemST
AGAINST	Because Communist Breadlines are not my thing! NoHillary WhyImNotVotingForHillary SemST
AGAINST	HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State. SemST
AGAINST	Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president. SemST
AGAINST	Yes HRC subject 2 dbl standard Smh Come on billclinton HillaryClinton U Knew ClintonFdn Donations Would b Scrutinized; Spun! SemST
AGAINST	Hillary to stop for pizza today to garner the Italian vote. MSM is worthless. libertynothillary HillNo SemST
AGAINST	I want America to great again WhyImNotVotingForHillary SemST
NONE	March 8, 2016 Ohio is holding our Primaries! The date is subject to change. Ohio OurChampion SemST
AGAINST	RIGHTZONE WethePeoplePets Let's hope the VOTERS remember! HillNo SemST
AGAINST	Hillary Clinton has not driven a car since 1996. clintonfakerealityshow SemST
NONE	NaughtyBeyotch TheRealMadman23  Don't care for Fiorina, but it seems she taking the sexist gut punches by the media. MSM SemST
AGAINST	FoxNews marthamaccallum BillHemmer whose the opportunist now, NoHillary2016 SemST
FAVOR	HillaryClinton WomenintheWorld we need to re-establish a global system dominated by love and affection have moral_humane RT SemST
AGAINST	Hillary is as transparent as a brick wall LibertyNotHillary SemST
AGAINST	WSJ . Clinton Foundation to keep accepting bribes from foreign governments WhyImNotVotingForHillary SemST
NONE	josephbenning I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck. SemST
AGAINST	What are you afraid of HillaryClinton? If you can't answer questions from the press, why do we want you as POTUS SemST
AGAINST	Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State. SemST
