HS,CN
La islamofobia es un derecho. Luchar contra el Islam es un deber.,¡La islamofobia es una forma de racismo descarado contra el Islam!
El Islam es fanatismo. Los musulmanes quieren matar a todos los que no creen en su dios.,"El Islam es una religión y, al igual que cualquier otra religión (incluido el cristianismo), corre el riesgo de fanatismo; esto no hace fanáticos a todos los musulmanes."
"La única forma de hacer frente al Islam y la sharia es prohibirlos en el Reino Unido. Aunque respeto a los musulmanes pacíficos, todos sus clérigos están haciendo campaña por la guerra y el Islam es una secta.","¿Funciona alguna vez la prohibición de algo? ¿Pensé que la tolerancia religiosa era uno de nuestros ""valores británicos""?"
Los musulmanes son todos terroristas.,¿Sabías que más del 90% de las víctimas mundiales del terrorismo son musulmanas?
Tu velo es un ataque contra mí.,¿Qué pasa con otros estilos de vestir que no son comunes en algunas culturas?
Los musulmanes son todos terroristas.,Amalgamas puras.
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,Debemos aprender antes de decir nada.
La gran mayoría de musulmanes están desempleados y se niegan a trabajar.,"Según The Sun, no se niegan a trabajar, pero el desempleo para los musulmanes es 1) debido a la discriminación contra ellos, 2) que el informe solo analizó el empleo a tiempo completo, no el trabajo a tiempo parcial, 3) dice que las cifras han aumentado porque las mamás son más probables quedarse en casa mientras los niños son pequeños."
"Muy extraño, la mayoría de los huevos de Pascua están etiquetados como 'huevos de chocolate', creo que esto se debe a los musulmanes en nuestro país y las empresas están traicionando nuestra cultura.",[inserte la imagen del huevo de Pascua etiquetado como tal] ¿Lo son?
"La única forma de hacer frente al Islam y la sharia es prohibirlos en el Reino Unido. Aunque respeto a los musulmanes pacíficos, todos sus clérigos están haciendo campaña por la guerra y el Islam es una secta.","Si alguien está haciendo campaña por la guerra y la muerte, debemos tratar con él directamente. Pero como lo señala correctamente, la mayoría de las personas no están conectadas con las declaraciones ofensivas y son solo musulmanes pacíficos."
Los musulmanes son todos terroristas.,1.5 mil millones de terroristas.
Estos despreciables musulmanes aún no han ganado. ¡Ahora habrá un castigo cruel!,"Lo único que los musulmanes están tratando de ""ganar"" es el derecho a existir libres de discriminación y odio deshumanizador como este."
"(respondiendo a un ataque terrorista :) todavía es budista, y quieren que creamos que el Islam es una religión de paz y tolerancia.","El mensaje del Islam es la paz, pero quienes lo practican han entendido mal el mensaje."
Tu velo es un ataque contra mí.,Tanto odio en una frase. Es una pena.
"No podemos confiar en los musulmanes, todos son estafadores.","¡Bravo, qué revelador!"
¿Qué sentido tiene escuchar a las mujeres musulmanas? Todas son retrasadas.,"Es tan difícil tomarlo en serio cuando la combinación de su islamofobia, misoginia y lenguaje deshabilitador lo hacen parecer excesivamente desinformado."
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,¡Por eso se enseña el Corán en la escuela!
Los musulmanes violan a nuestras mujeres y deben ser castrados.,En realidad nosotros mismos violamos a nuestras mujeres.
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,"Y para otras religiones, ¿qué decimos?"
El Islam es una religión no pacífica que profesa violencia.,"Está muy de moda la 'religión atea', dentro de esta, les aseguro que a menudo se manifiesta una violencia considerable."
El velo islámico es la demostración del Islam político.,¿Y el velo católico?
Los musulmanes violan a nuestras mujeres y deben ser castrados.,Los musulmanes nunca han violado a nadie solo porque son musulmanes.
¿Usar la violencia para castigar a otra persona? Suena como un problema musulmán.,"La misma palabra islam, que significa ""rendición"", proviene del árabe salam, o paz; el islam no es una religión violenta."
"Violación = yihad. Los musulmanes son violadores que se encuentran en todas partes del Reino Unido. Cuando no estaban aquí, no existía el problema de la violación.",¿Cuántos violadores musulmanes hay? ¿Cuántos violadores británicos? ¡Compara los números y saca una conclusión por ti mismo!
El velo islámico es la demostración del Islam político.,¿Qué es el Islam político?
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,"La gran mayoría de los casi dos mil millones de musulmanes son personas normales, como tú o yo, absolutamente pacíficas. Unos pocos individuos radicalizados no deberían hacernos generalizar. En Italia también tuvimos el terrorismo autóctono, esto no debería permitir que nadie haga la yuxtaposición italiano = terrorista."
El Islam es fanatismo. Los musulmanes quieren matar a todos los que no creen en su dios.,¿Ha leído el Corán? Porque para mí no lo has hecho. El Islam es una religión de paz.
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,Las mujeres son libres de usar su velo según sus creencias religiosas.
