HS,CN
"Haien herrialdeetan ez dugu elizarik eraikitzeko baimenik, zergatik utzi behar zaie gurean meskitak eraikitzen?",Zergatik ez zaie baimendu behar musulmanei meskita hemen eraikitzea? Herrialde honek kristautasunaz gain beste erlijio batzuk praktikatzeko askatasuna ematean sinesten zuela uste nuen.
"Musulmanak eta islamistak biktimarena egiten duten faltsuak dira. Gainera, beste kulturak kritikatzen dituzte indarkeria erabiltzeagatik, nahiz eta haien erlijioak hori aitortzen duen.",Agian horrelako iruzkin erasotzaile eta diskriminatzaileek ez dute laguntzen.
"Ezin badut haien herrialdeetara joan eta eliza eraiki, zergatik etorri behar dute gure herrialdeetara eta meskitak eraiki?","Musulman britainiarrek beste erlijio talde guztiek baino gehiago ematen diote karitateari per capita [esteka MEND-eko estatistiketara edo/eta meskita bateko ongintzako dohaintza handien adibidera], beraz, kosta egiten zait ikustea funts horiek biltzen diren meskitekin zer arazoa dagoen."
"slama ezin da ondo moldatu zientziarekin, logikoa ez delako.","Ziur zaude? Ustez zientziarekin bateraezina den erlijioa izateko, zientzialari, ikertzaile eta mediku profesional musulman ugari dago."
"Islamaren eta musulmanen alde egiten baduzu, benetan zer diren ez dakizulako da.",Agian islamarekiko eta musulmanekiko intoleranteak dira benetan zer den ez dakitenak?
"Hau da Islamaren ideologia: meskita bat izatea, komunitatea sortzea, biktima estatusa aldarrikatzea, gobernuaren laguntza lortzea, legeak ustiatzea, sharia ezartzea, herrialdearen kontrola hartzea.",Aipatu duzun prozesuak denbora asko eskatzen duela iruditzen zait eta ez du ezer bermatzen. Ez dut uste inork hau bizi nahiko lukeenik beste hizkuntza bat hitz egiten duen eta beste kultura bat duen herrialde batean bizitzeko aukera izateko soilik.
"Ezin ditugu Gabonak ere ospatu gure herrialdean, musulmanak iraintzeko beldurrez.","Gabonak ospatzeagatik ez da inor mindu. Horrelako mitoak eskuinekoek sortzen dituzte, gutxiengoak eta ezkerra erraz mintzen direla sinestarazteko eta benetan kezkatzen dituzten gaiak baliogabetzeko."
"Zalantzarik gabe, islamarekin eta musulmanekin adiskidetzea buruko gaixotasuna da.","Men egitaren bidez benetan esan nahi baduzu NHS, trenak eta taxiak martxan mantentzea, pertsona langileak elikatzea, gauean garagardoak erostera joatea posible izatea, orduan bai, erokeria da."
Ia musulman guztiek apropos aukeratzen dute lanik ez egitea.,"Enplegu eta pentsioen departamentuak dioenez, gizon musulmanen %11 eta emakume musulmanen %16a daude langabezian, eta 30 segundo behar izan nituen hori Google-n aurkitzeko. Zergatik lanak hartu gauzak asmatzen?"
"Musulmanei esker, Britainia Handia ez da iraganeko herrialde bikaina! Gaixotasuna dira!",Galdetu al dezaket Islamak zer gauza txar ekarri dizkigun? Ezin dut bat bera ere aipatu!
Zertarako entzun behar ditugu emakume musulmanak? Denak atzeratuak dira.,Ez dakit noraino eramango gaituen munduko biztanleriaren %10 baztertzeak.
Dena hobea izango litzateke musulmanak existituko ez balira. Gure gizarteari egin dioten ekarpen bakarra indarkeria da.,Nahita ari al zara musulmanei buruzko berri onak ekiditen?
"Estatistikek diote Erresuma Batuko musulmanen% 99 hain alferrak direla, ez dutela lan egin nahi.",Nondik atera duzu zifra hori? Lortu al dezaket horren benetako ebidentziarik? Oso irreala dirudi eta.
"Ez dugu onartu nahi Islama ez dela erlijioa, hilketa onartzen duen sekta besterik ez da.",Islama benetan indarkeria kritikatzen duen eta pertsonen arteko maitasuna bultzatzen duen erlijioa da. Britainiarrek ere krimenak egin ditzakete. Triskantza egitea delituaren parekoa da. Mundu mailan krimenari eta gorrotoari aurre egiteko modu hobea pentsatu beharko genuke.
"Europa zibilizatua da, musulmanek ez lukete bertan egon behar.",Nola esan dezakezu hau 1.600 milioi pertsonako fedeari buruz?
Inbasio musulmana Londresko izurrite berria da. Jatorrizko herrialdeetara aberriratu behar dira!,"Izan ere, emigrante musulman horiek londrestar askok egin nahi ez dituzten lan asko egiten dituzte. Gure gizarteak ondo funtzionatzen jarraitzea eskertu beharko genuke."
"Korana eta meskita guztiak erre behar ditugu, honek herrialde honetako arazo guztiak konponduko ditu.","Bai, hori modu ""zibilizatu"" bikaina da zure herrialdea ""zibilizatua"" mantentzeko pertsona ""zibilizatu gabeko"" hauengandik."
