Igandean	DEF;INAN;IN+ESS;N;SG	↓0;d¦--+
,	_	↓0;d¦+
gosaldu	V;V.PTCP	↓0;d¦+
ondoren	ADV	↓0;d¦+
itzuliko	PROSP;V;V.PTCP	↓0;d¦--+
dira	ARGAB3P;IND;V	↓0;d-¦-+z→+n+
Iruñera	PROPN;SG;DEF;AT+ALL	↑0¦↓1;d¦-→+
,	_	↓0;d¦+
eta	CONJ	↓0;d¦+
Berrioplanoko	PROPN;ESS;SG;DEF	↑0¦↓1;d¦--+
El	_	↑0¦↓1;d¦+
Toro	PROPN	↑0¦↓1;d¦+
hotelean	N;DEF;SG;IN+ESS	↓0;d¦---+
jarraituko	PROSP;V;V.PTCP	↓0;d¦--+
dute	ARGAB3S;ARGER3P;IND;V	↓0;d+*+e¦--+n+
kontzentrazioa	N;SG;DEF;ABS	↓0;d¦-+
,	_	↓0;d¦+
partidua	DEF;INAN;N;ABS;SG	↓0;d¦-+
jokatzeko	ESS;V	↓0;d¦----+u+
ordua	DEF;INAN;N;ABS;SG	↓0;d¦-+
heldu	V;V.PTCP	↓0;d¦+
arte	N;INAN;INDF;ABS	↓0;d¦+
.	_	↓0;d¦+

Osasun	N	↓0;d¦+
publikoan	IN+ESS;SG;ADJ;DEF	↓0;d¦--+
eta	CONJ	↓0;d¦+
erretiroko	ESS;INAN;SG;N;DEF	↓0;d¦--+
pentsioetan	INAN;IN+ESS;N;PL;DEF	↓0;d¦----+
ere	CONJ	↓0;d¦+
aurreikusita	V.PTCP;V	↓0;d¦--+
dago	ARGAB3S;V;PROG;IND	↓0;d--+e¦+n+
oinarrizko	ADJ	↓0;d¦+
erreformak	N;ABS;PL;DEF	↓0;d¦-+
egitea	V;ABS	↓0;d¦---+n+
.	_	↓0;d¦+

Kurba	N	↓0;d¦+
hauei	DET;DEF;PL;DAT	↓0;d¦-+k+
begiratzeak	V;ERG;DEF;SG	↓0;d¦----+u+
funtzionamendua	DEF;ABS;SG;N	↓0;d¦-+
ulertzen	V;IN+ESS	↓0;d¦---+u+
lagunduko	V;PROSP;V.PTCP	↓0;d¦--+
digu	ARGDA1P;ARGER3S;ARGAB3S;V;IND	↓0;d+*+e¦--→+n+
.	_	↓0;d¦+

Hala	ADV	↓0;d¦+
ondorioztatu	V.PTCP;V;PFV	↓0;d¦+
zuen	ARGAB3S;ARGER3S;V;IND	↓0;d--+*¦+d+u→+
atzo	ADV	↓0;d¦+
Eduardo	PROPN	↑0¦↓1;d¦+
