,comment_text,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE_OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE_OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
0,Nos sentimos muy a gusto.,0,0,0,0,0,0,0,0,1,0,0,0
1,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",1,0,0,0,0,1,0,0,0,0,0,1
2,Muy recomendable,0,0,0,0,0,0,0,0,1,0,0,0
3,"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",0,0,0,0,0,0,0,0,0,0,0,1
4,"Y la comida espectacular, por eso lo bueno se paga...",0,0,0,0,0,1,0,0,0,0,0,0
5,"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.",0,0,0,0,1,0,0,0,1,0,0,0
6,Nada especial.,0,0,0,0,0,0,0,0,1,0,0,0
7,"Me habían comentado maravillas y está bien, pero nada más.",0,0,0,0,0,0,0,0,1,0,0,0
8,"Las carnes bien, pero como muchas otras.",0,0,0,0,0,1,0,0,0,0,0,0
9,"El precio, por lo que es la comida, para mi gusto es elevado.",0,0,0,0,1,0,0,0,0,0,0,0
10,"la calidad del producto, el servicio, el entorno todo fue excelente",1,0,0,0,0,1,0,0,0,0,0,1
11,9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.,0,0,0,0,0,0,0,0,1,0,0,0
12,El servicio es muy bueno y la calidad de la comida al mismo nivel.,0,0,0,0,0,1,0,0,0,0,0,1
13,Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.,0,0,0,0,0,0,1,0,0,0,1,0
14,Volveremos.,0,0,0,0,0,0,0,0,1,0,0,0
15,"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.",1,0,0,0,0,1,0,0,1,0,0,1
16,Mis amigos quedaron encantados y nosotros tambien.,0,0,0,0,0,0,0,0,1,0,0,0
