-	Добрый час суток.
-	Меня зовут Влада!
-	Я со своим молодым человеком и пару его друзей отмечали день рожденье буквально на днях в этом ресторане.
__label__SERVICE#GENERAL __label__SERVICE#GENERAL	Обслуживание хорошее нас встретил метрдотель и провёл до столика который отлично нам подашел.
__label__AMBIENCE#GENERAL __label__AMBIENCE#GENERAL	Он был в уютном уголке в конце главного зала, приглушенный свет это основная часть этого ресторана там нет дневного освещения это было большим плюсом для нашего дня рожденья!
-	Просто мы пришли днем часиков в четыре, так что вечер приятно продлился…...
__label__FOOD#QUALITY __label__FOOD#PRICES __label__FOOD#QUALITY __label__FOOD#QUALITY __label__FOOD#STYLE_OPTIONS __label__FOOD#QUALITY	На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!
__label__AMBIENCE#GENERAL __label__AMBIENCE#GENERAL	Ближе к вечеру нас предупредили о том, что будет живая музыка, мы так обрадовались этому неожиданному сюрпризу у нас как раз подошло время для танцев, а тут сопровождает такой прекрасный голос солистки……!!!
__label__RESTAURANT#GENERAL	В общем мы остались безумно довольны проведённым вечером в этом ресторане, так что всем советуем))
-	Были в Дитае на прошлой неделе с подругой.
-	Зашли случайно, обе в китайских ресторанах не бывали, решили попробовать, что это такое.
-	Что заказывать не знали, положились на вкус официантки.
__label__RESTAURANT#GENERAL	Совершенно не разочаровались!
-	Подруге принесли судака, мне - свинину по-пекински.
__label__FOOD#QUALITY	Еда вкусная, необычная.
__label__FOOD#QUALITY	Интересно будет зайти и попробовать что-нибудь еще)
__label__AMBIENCE#GENERAL __label__RESTAURANT#GENERAL __label__AMBIENCE#GENERAL	По поводу интерьера: место спокойное, шумных компаний нет (не было, по крайней мере, в момент нашего посещения), очень приятная и уютная атмосфера, все в лучших традициях.
__label__RESTAURANT#GENERAL	Остались очень довольны данным заведением.
__label__FOOD#QUALITY	Я несколько раз была в этом заведении,о кухне могу сказать только самое хорошее.
__label__FOOD#QUALITY __label__FOOD#QUALITY __label__FOOD#QUALITY	Потрясающая паста с лососем,очень вкусные супчики,отличные десерты.
__label__SERVICE#GENERAL __label__FOOD#QUALITY	Последний раз была с друзьями,все остались довольны и обслуживанием и едой.
__label__AMBIENCE#GENERAL __label__AMBIENCE#GENERAL	Интерьер не плохой, несколько залов на разный вкус и компанию.
__label__RESTAURANT#GENERAL	Вообщем стоящее место для обеда и посиделок с друзьями.
-	Вчера отмечали день рождения в ресторане, сходив туда за два дня на разведку.
__label__RESTAURANT#GENERAL	Нам двоим все понравилось и мы решили пригласить туда гостей, одна из которых по части еды была большим знатоком и критиком.
__label__RESTAURANT#GENERAL	Сразу хочу сказать, что критиковать ей не пришлось, т.к. она осталась, как впрочем и все остальные гости, очень довольна!
__label__AMBIENCE#GENERAL __label__AMBIENCE#GENERAL __label__SERVICE#GENERAL	Интерьер в легком французском стиле с приятным освещением на столиках, обслуживание без навязывания лишних блюд и напитков (официантка Анна), все происходило четко и быстро.
__label__FOOD#QUALITY __label__FOOD#QUALITY	Ну а о качестве и исполнении блюд даже нечего говорить!
__label__FOOD#QUALITY __label__FOOD#QUALITY __label__FOOD#QUALITY __label__FOOD#QUALITY __label__FOOD#QUALITY	Взяли все разные салаты и горячие, и все остались очень довольны (ирыба, и мясо, и птица).
__label__FOOD#QUALITY	Все красиво украшено и приготовлено прямо перед подачей на стол.
__label__RESTAURANT#GENERAL	Думаю, что этот доселе незнакомый нам в центре города ресторан, Веритас,, станет нашим семейным местом встреч!
__label__RESTAURANT#GENERAL	Теперь при вопросе от знакомых "в какой ресторан сходить с гостями из Москвы или отпраздновать день рождения?" мы будем советовать , Веритас .
__label__SERVICE#GENERAL __label__SERVICE#GENERAL	Большое спасибо персоналу ресторана за душевный и качественный прием.
-	Дальнейших вам успехов!
-	Посетили этот ресторан 25,08,12.
__label__RESTAURANT#GENERAL	После посещения желания прийти ещё раз нет.
__label__SERVICE#GENERAL __label__FOOD#QUALITY	Очень много недочетов как в работе официантов так и в блюдах. 1.
-	Были с ребенком, заказали из детского меню пиццу.
__label__FOOD#QUALITY	К большому удивлению пицца (ещё раз - из детского меню!) была на столько острая, что и взрослые не смогли её есть, не говоря уже о ребенке.
__label__SERVICE#GENERAL	Официант вообще прокомментировала это так, что детское меню - это для взрослых, которые хотят заказать маленькие порции, а не для детей. :)) 2.
__label__SERVICE#GENERAL	Попросили принести обычный яблочный сок, не свежевыжатый, принесли свежевыжатый, пришлось вернуть. 3.
__label__SERVICE#GENERAL	Просили принести "свежевыжатый сок в большом стакане + газированную воду" сок принесли в маленьком стакане про воду забыли. 4.
-	Просили официанта помочь выбрать из 2-х блюд.
__label__SERVICE#GENERAL	Официант сказал "у нас все вкусное" и помочь с выбором не смог.
__label__FOOD#QUALITY __label__FOOD#QUALITY	За кухню оценка 3, т.к. из всего заказа понравилась только панакота.
__label__FOOD#QUALITY __label__FOOD#QUALITY	Салат Цезарь был так себе + очень острая пицца из детского меню.
__label__SERVICE#GENERAL __label__SERVICE#GENERAL	За сервис 3, т.к. официант путала заказы, не могла помочь с выбором (или не хотела, когда клиент просит помочь определиться, он не хочет услышать "все вкусное, берите все").
__label__SERVICE#GENERAL	А мнение что детское меню не для детей, вообще "убило".
__label__SERVICE#GENERAL __label__SERVICE#GENERAL	Из плюсов хочу отметить няню в детской комнате, очень милая девушка, ребенку очень понравилась.
